,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Justin Jefferson,WR,23.0,2022,286.70581512143076,6.0,1.6,1.01,1.11
1,Ja'Marr Chase,WR,22.0,2022,274.6474006643623,9.0,1.9,1.01,2.06
2,Cooper Kupp,WR,29.0,2022,268.6277189150926,4.0,1.7,1.01,2.05
3,Davante Adams,WR,30.0,2022,255.57966020719977,11.0,2.2,1.01,2.09
4,Tyreek Hill,WR,28.0,2022,234.20794836120135,22.0,3.0,1.02,3.11
5,Amon-Ra St. Brown,WR,23.0,2022,224.38353807675475,84.0,7.8,4.01,10.11
6,Stefon Diggs,WR,29.0,2022,220.6934898362789,13.0,2.3,1.01,2.1
7,Chris Godwin,WR,26.0,2022,216.84161781291184,58.0,6.1,2.09,7.05
8,D.K. Metcalf,WR,25.0,2022,215.1225027960374,42.0,4.6,2.07,5.12
9,CeeDee Lamb,WR,23.0,2022,212.2841216200918,17.0,2.6,1.01,3.01
10,Antonio Gibson,WR,24.0,2022,209.6843735523994,45.0,5.3,1.06,6.08
11,Deebo Samuel,WR,26.0,2022,208.72762756806662,19.0,2.7,1.03,3.04
12,Jaylen Waddle,WR,24.0,2022,207.26552545737047,49.0,5.6,2.09,6.06
13,Diontae Johnson,WR,26.0,2022,203.21468060548335,46.0,4.8,2.12,6.1
14,Tee Higgins,WR,23.0,2022,202.90826826283313,34.0,3.5,1.09,4.09
15,A.J. Brown,WR,25.0,2022,199.39326582818705,30.0,3.3,1.12,4.11
16,DeAndre Hopkins,WR,30.0,2022,198.95486882811826,55.0,6.2,2.08,6.12
17,Mike Evans,WR,29.0,2022,193.7787216474139,25.0,3.1,1.02,3.12
18,Tyler Lockett,WR,30.0,2022,193.36677456906148,111.0,7.2,6.02,11.1
19,Amari Cooper,WR,28.0,2022,191.0386666179802,76.0,6.4,4.01,9.03
20,Keenan Allen,WR,30.0,2022,187.04165108830432,28.0,3.3,2.01,4.03
21,D.J. Moore,WR,25.0,2022,185.0856179377972,44.0,5.1,1.12,6.02
22,Chase Claypool,WR,24.0,2022,180.9674558506522,115.0,8.3,4.06,13.02
23,DeVonta Smith,WR,24.0,2022,179.54612359150298,87.0,6.9,3.01,9.09
24,Michael Pittman Jr.,WR,25.0,2022,176.97139140091454,31.0,3.1,1.06,4.05
25,Brandon Aiyuk,WR,24.0,2022,175.09507510379106,100.0,7.7,4.09,10.11
26,Darren Waller,WR,30.0,2022,173.07176504984034,52.0,5.8,1.07,6.1
27,Terry McLaurin,WR,27.0,2022,172.4806594207152,39.0,3.8,1.07,5.03
28,Marquise Brown,WR,25.0,2022,171.02764093394129,77.0,6.3,3.08,8.1
29,Calvin Ridley,WR,28.0,2022,170.28225425062612,204.0,15.8,8.05,16.06
30,Allen Robinson,WR,29.0,2022,168.88464974917068,62.0,6.1,3.01,7.1
31,Hunter Renfrow,WR,27.0,2022,167.6901278283233,70.0,6.2,3.11,8.04
32,Darnell Mooney,WR,25.0,2022,163.50339534150817,75.0,6.1,4.01,8.12
33,Robert Woods,WR,30.0,2022,161.95231269322966,103.0,7.2,4.11,11.01
34,Brandin Cooks,WR,29.0,2022,156.26871446238596,60.0,5.2,2.12,7.03
35,Michael Gallup,WR,26.0,2022,156.21128649839497,125.0,9.5,2.06,13.06
36,Tyler Boyd,WR,28.0,2022,153.38501459771234,144.0,12.6,6.12,15.06
37,Christian Kirk,WR,26.0,2022,152.09737034018497,112.0,7.3,6.05,12.06
38,Mike Williams,WR,28.0,2022,149.68138666045678,51.0,6.1,2.12,6.08
39,Adam Thielen,WR,32.0,2022,149.29841108232708,65.0,6.2,3.02,7.11
40,Robby Anderson,WR,29.0,2022,148.281320843658,248.0,26.8,6.01,18.05
41,DeVante Parker,WR,29.0,2022,148.281320843658,139.0,9.4,8.05,14.07
42,Russell Gage,WR,26.0,2022,141.51532418196354,114.0,7.9,3.01,12.05
43,K.J. Osborn,WR,25.0,2022,141.122603167151,228.0,19.4,10.05,18.05
44,Jarvis Landry,WR,30.0,2022,139.47485332878597,143.0,11.9,3.02,16.01
45,Mecole Hardman,WR,24.0,2022,138.97436236458321,168.0,15.9,6.1,15.12
46,Elijah Moore,WR,22.0,2022,136.73259055425788,94.0,7.6,2.06,10.06
47,Gabriel Davis,WR,23.0,2022,136.01893039593236,79.0,6.9,3.11,9.01
48,DJ Chark,WR,26.0,2022,135.71159225003828,,,,
49,Marvin Jones,WR,32.0,2022,134.9836957529132,253.0,33.2,5.03,18.05
50,JuJu Smith-Schuster,WR,26.0,2022,132.20680511775993,90.0,9.3,2.05,10.11
51,Jakobi Meyers,WR,26.0,2022,131.02776590749087,197.0,15.8,8.05,16.08
52,Jamison Crowder,WR,29.0,2022,126.98310692454032,274.0,23.6,9.09,18.06
53,Jerry Jeudy,WR,23.0,2022,123.35480590224633,68.0,6.3,3.02,7.11
54,Robby Anderson,WR,29.0,2022,122.98107560560004,248.0,26.8,6.01,18.05
55,DeVante Parker,WR,29.0,2022,122.98107560560004,139.0,9.4,8.05,14.07
56,Corey Davis,WR,27.0,2022,122.638091466834,267.0,23.8,13.02,19.05
57,Julio Jones,WR,33.0,2022,119.1689564147407,151.0,15.6,3.06,15.11
58,Courtland Sutton,WR,27.0,2022,118.91425208873817,69.0,8.5,2.07,8.04
59,Kenny Golladay,WR,29.0,2022,116.85067181246237,216.0,18.7,9.07,17.09
60,Rondale Moore,WR,22.0,2022,112.7678796691357,189.0,16.3,9.03,16.08
61,Van Jefferson,WR,26.0,2022,110.5236924379583,270.0,28.4,7.09,18.08
62,Allen Lazard,WR,27.0,2022,110.03008324180021,102.0,8.5,5.03,11.06
63,Chuba Hubbard,RB,23.0,2022,108.97284592415205,135.0,11.4,5.02,14.03
64,Rashod Bateman,WR,23.0,2022,108.97284592415205,95.0,7.9,4.07,10.11
65,Nico Collins,WR,23.0,2022,102.58911391778662,230.0,22.1,8.04,18.06
66,Josh Palmer,WR,24.0,2022,101.60507135734727,211.0,22.4,9.1,18.06
67,Tim Patrick,WR,29.0,2022,100.10747235323468,238.0,15.6,11.07,16.11
68,Kadarius Toney,WR,23.0,2022,99.98827676166641,117.0,8.3,6.01,13.06
69,Cordarrelle Patterson,WR,31.0,2022,98.95051980526534,98.0,8.8,3.08,10.1
70,Nelson Agholor,WR,29.0,2022,98.4724620908308,113.0,31.5,3.01,13.01
71,Randall Cobb,WR,32.0,2022,79.76691069532075,192.0,45.9,3.07,19.04
72,Sammy Watkins,WR,29.0,2022,77.89587537473932,269.0,25.3,7.07,18.06
73,Isaiah McKenzie,WR,27.0,2022,76.74886933370101,213.0,21.1,6.07,17.12
74,Marquez Valdes-Scantling,WR,28.0,2022,74.77940081338468,154.0,12.5,5.11,15.1
75,Parris Campbell,WR,25.0,2022,41.51992734655255,210.0,16.2,11.03,15.12
